start_ts,end_ts,src_ip,dst_ip,src_port,dst_port,protocol,tos,tcp_flags,packet_count,bytes,router_in_port,router_out_port
1361951998.058,1361951998.058,24.244.206.186,248.207.48.41,53,14687,17,0,0,1,115,78,50
1361951998.058,1361951998.058,18.141.190.84,7.35.157.38,80,13919,6,0,0,1,52,78,49
1361951998.058,1361951998.058,18.141.190.84,7.35.157.38,80,46677,6,0,0,1,52,78,49
1361951998.058,1361951998.058,248.207.38.29,67.105.137.45,53,52029,17,0,0,1,134,49,57
1361951998.058,1361951998.058,166.199.191.216,41.43.208.46,38201,12596,17,0,0,1,349,78,50
1361951998.057,1361951998.057,8.0.48.46,248.207.48.41,53,62332,17,32,0,1,228,57,50
1361951998.057,1361951998.057,7.35.157.44,71.156.24.116,15420,40012,17,0,0,1,65,49,78
1361951998.121,1361951998.121,214.191.43.132,41.43.208.218,2453,26594,17,32,0,1,50,57,50
1361951998.121,1361951998.121,59.52.158.153,41.43.200.81,443,54141,6,0,0,1,89,78,50
1361951998.057,1361951998.057,248.207.48.41,24.244.206.186,14687,53,17,0,0,1,75,49,78
1361951998.057,1361951998.057,216.84.74.71,41.43.213.116,3128,65317,6,0,0,1,52,50,50
1361951998.057,1361951998.057,7.35.229.4,31.68.210.133,0,8,1,0,0,1,46,49,57
1361951998.057,1361951998.057,7.35.157.44,112.49.117.229,15420,40033,17,0,0,1,61,50,78
1361951998.057,1361951998.057,98.39.111.55,41.43.208.46,19311,12596,17,32,0,1,330,57,50
1361951998.057,1361951998.057,184.156.140.183,7.35.93.113,53,27518,17,32,0,1,83,57,50
1361951998.057,1361951998.057,248.207.38.29,102.92.244.44,53,29409,17,0,0,1,157,50,78
1361951998.057,1361951998.057,248.207.38.29,181.0.94.176,53,32903,17,0,0,1,236,50,78
1361951998.057,1361951998.057,18.141.190.84,7.35.157.38,80,63962,6,0,0,1,52,78,49
1361951998.057,1361951998.057,111.105.123.3,41.43.208.46,16001,12596,17,32,0,1,140,57,50
1361951994.729,1361951994.729,41.43.202.162,205.49.96.25,44048,50829,6,0,0,1,47,49,57
1361951998.057,1361951998.057,7.35.156.251,69.160.225.71,16619,43857,6,0,0,1,52,50,57
1361951998.057,1361951998.057,71.254.225.222,7.35.1.30,0,11,1,32,0,1,168,57,50
1361951998.057,1361951998.057,102.102.18.41,7.35.150.162,13574,60368,17,0,0,1,48,78,5
1361951998.057,1361951998.057,104.158.198.93,41.43.200.243,11200,1024,17,32,0,1,46,57,50
1361951998.057,1361951998.057,173.213.199.219,7.35.156.228,10214,64710,6,32,0,1,46,57,50
1361951998.057,1361951998.057,41.43.208.46,80.21.114.235,12596,47876,17,0,0,1,129,50,78
1361951998.057,1361951998.057,248.207.38.29,160.71.58.35,53,45418,17,0,0,1,125,49,57
1361951998.057,1361951998.057,248.207.48.41,127.80.158.104,36935,53,17,0,0,1,97,50,57
1361951998.057,1361951998.057,179.175.197.130,248.207.48.41,53,48894,17,32,0,1,144,57,50
1361951998.057,1361951998.057,41.43.202.60,174.93.225.232,17676,5621,17,0,0,1,46,50,57
1361951998.057,1361951998.057,81.200.22.237,7.35.159.150,57949,15512,17,32,0,1,50,57,50
1361951998.057,1361951998.057,67.105.137.45,248.207.38.29,52029,53,17,32,0,1,82,57,49
1361951998.057,1361951998.057,7.35.157.44,70.128.227.55,15420,40020,17,0,0,1,62,49,78
1361951998.057,1361951998.057,7.35.157.44,70.128.227.36,15420,40007,17,0,0,1,63,49,78
1361951998.121,1361951998.121,216.84.74.70,41.43.219.224,3128,55246,6,0,0,1,52,50,50
1361951998.057,1361951998.057,248.207.38.29,99.149.254.159,53,26604,17,0,0,1,129,50,57
1361951998.057,1361951998.057,41.43.198.19,160.93.40.196,36192,443,6,0,0,1,46,50,78
1361951998.057,1361951998.057,88.129.242.254,41.43.208.250,19863,34428,17,36,0,1,258,57,50
1361951998.057,1361951998.057,41.43.200.243,104.158.198.93,1024,11200,17,0,0,1,46,50,57
1361951998.056,1361951998.056,77.42.238.145,41.43.205.167,56000,16001,17,32,0,1,129,57,50
1361951998.056,1361951998.056,90.27.149.220,7.35.206.241,80,27896,6,32,0,1,46,57,50
1361951998.056,1361951998.056,72.67.229.94,7.35.9.131,63520,54355,6,32,0,1,46,57,50
1361951998.120,1361951998.120,102.92.244.44,248.207.38.29,56727,53,17,0,0,1,71,78,49
1361951998.120,1361951998.120,7.35.156.229,111.175.22.253,16839,80,6,0,0,1,46,49,78
1361951998.056,1361951998.056,7.35.9.131,81.87.21.241,54355,61874,17,0,0,1,50,49,78
1361951998.056,1361951998.056,41.43.210.230,95.237.120.130,1536,39088,17,0,0,1,1211,49,78
1361951998.056,1361951998.056,41.43.195.167,74.240.9.239,50284,443,6,0,0,1,46,50,57
1361951998.056,1361951998.056,15.215.179.205,216.84.74.70,80,60917,6,32,0,1,52,57,50
1361951998.120,1361951998.120,41.43.202.60,49.182.41.82,17676,4170,17,0,0,1,46,50,57
1361951998.056,1361951998.056,7.35.48.174,188.19.128.69,53,35384,17,0,0,1,187,49,78
1361951998.056,1361951998.056,7.35.251.128,59.136.33.204,443,17387,6,0,0,1,46,50,57
1361951998.056,1361951998.056,59.123.140.24,41.43.191.21,80,15648,6,0,0,1,46,78,5
1361951998.056,1361951998.056,7.35.157.42,173.229.161.215,6707,5625,17,0,0,1,46,49,78
1361951998.056,1361951998.056,7.35.157.42,80.206.127.79,6707,4672,17,0,0,1,46,49,57
1361951998.056,1361951998.056,188.19.128.69,7.35.48.174,35384,53,17,32,0,1,90,57,50
1361951998.056,1361951998.056,7.35.157.42,171.152.181.111,6707,23265,17,0,0,1,46,50,78
1361951998.120,1361951998.120,205.221.198.104,7.35.213.1,443,36111,6,0,0,1,96,57,49
